,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0,1.2750782,1.7265384,-2.0900013,-1.4471875,0.61087024,0.12097226,1.5068635,-0.76414865,1.0147631,1.9882038,-0.99310356,0.49318606,1.4733446,-0.31452486,-0.5205067,-0.08581048,2.6410198,-2.1631987,-1.1509995,2.5581741,-2.9288986,-1.1035074,0.7095234,0.50492555,0.67153376,-0.7339477,-0.9588608,2.021299,-1.3960896,-0.37793708,-1.398974,-1.3001362,-0.8078637,-1.630434,-0.17008214,-0.91780317,0.0125104375,0.23019907,2.2680502,1.0504843,0.3531817,-3.1323502,0.47793624,-1.4009966,0.5304806,-0.24613951,-0.46995956,0.4701658,-4.0919247,-3.3655205,-1.5030106,-0.12674376,-3.45666,-2.0526958,-3.6642296,3.363993,-0.8137128,-2.72127,-1.2772197,0.10707652,0.30904055,0.5631417,-1.2477412,1.7897332,0.46535707,-2.6693385,-0.043088634,-0.97889555,1.0498668,1.7849815,-0.9115373,1.7660376,5.1886144,0.12387264,0.6011446,-0.6879552,-2.5652468,1.0106155,-0.5372504,-8.248561,-2.1051896,1.6464823,0.113220066,-0.67642933,0.4430187,-1.1672474,0.7827983,-2.0514705,-3.142531,-0.12576921,-0.0051234965,0.39170435,0.90841585,-0.7568284,-1.4675382,-0.9448111,-1.9635463,1.2050447,1.4169536,0.9964492
1,-0.5756834,-1.0862019,0.058832414,-0.9747954,-1.0374761,0.6219552,-0.952606,-1.5868062,2.241496,1.8958284,-0.043051977,-1.5749873,0.42223713,-1.398739,-0.12790702,-0.55061173,2.7270138,-1.082111,-0.05268122,1.2063096,-2.5934453,-0.014472911,1.3468571,-0.21200868,-0.52623034,-1.076756,-2.8318248,0.1923435,-1.3097779,0.58239233,-0.22748946,-0.24078535,-0.71668303,-1.1085451,2.007063,-0.5000587,0.1609959,-0.45233843,2.23328,-0.9553449,1.6590462,-3.6841507,-0.04531269,-0.41199133,1.073707,-1.0937686,-1.6423807,0.7847739,-3.717578,-2.296432,0.78326607,-0.76093817,-3.265023,-3.786456,-4.368682,2.3952775,-3.3514411,-0.6169503,-0.3618592,-1.6489562,-0.30135748,-0.47775826,1.2731309,1.7191548,2.59696,-2.5754216,-1.4644306,-2.36754,0.40002352,3.357215,0.12868178,1.6996334,2.975692,-0.9250743,-0.042451553,0.45059663,-1.5668662,0.6660468,1.7970887,-10.892692,-2.8274767,2.1919885,1.0966128,0.26590335,2.072747,-0.72751486,0.6296377,-2.3994021,-1.9329484,-1.5989491,0.056863982,2.2204688,1.7185789,-0.63416266,-1.3611395,-0.38398257,-2.3062406,3.0807538,1.6363026,2.5781941
2,-0.93672895,-1.1240252,-0.7323937,-1.2474488,-2.1138804,1.6782408,-1.0192477,-0.71513057,2.1043549,1.7916852,-1.0913872,-1.9103849,0.9142344,-1.6233268,0.3245006,-0.54583335,2.985792,-1.1046873,-1.8325471,0.9694867,-1.5487138,0.51319456,0.7961319,-2.2231965,0.051129587,-2.0268574,-1.0648098,0.23692097,-0.4719989,0.49721524,0.21759553,0.5404628,-0.20670798,-2.3501496,1.9953074,2.740236,0.040066592,0.10012435,1.671223,-0.81050426,-1.0897542,-2.9469702,-0.8231233,2.0579,1.8240366,-1.9747953,-1.7924069,1.4929622,-4.4652267,-0.24325465,1.7143949,0.39821747,-2.49704,-4.105505,-2.8725102,0.94734776,-1.6771215,-1.7153078,0.80070364,-0.30170438,0.97677404,1.2419559,0.096808195,1.1355615,1.7698942,-1.9066695,-1.2650219,-1.6321074,0.96605426,1.5664543,1.9213295,1.3882577,2.6725318,-1.6989609,1.0102153,1.0183465,0.20053674,-1.2767168,5.3721547,-8.359226,-2.2613385,5.1087003,2.7025516,-1.5843172,1.6138242,-0.5857075,-1.4711926,-1.1545751,-0.43089718,-0.48677754,2.690298,-1.0780455,0.68201053,2.5981975,-1.2481182,0.257726,-4.2313247,1.2287387,1.4319102,2.8233254
3,-0.23478435,-0.51066595,0.5809023,0.84579235,-2.251295,0.781058,-1.4807988,-1.3269839,2.1313777,3.2636795,-0.17237769,-1.1870164,0.7667776,1.0667114,-0.17236796,-0.63399756,2.5140991,0.51545006,-1.6435766,0.5393797,-0.4832424,-0.17543201,0.390405,0.9867078,0.4516786,-2.420904,-0.79224,1.3156434,-1.9042956,0.3348637,-0.4844674,0.90765876,0.1415066,-1.001532,1.5582404,1.3733906,1.330321,1.4943743,1.1800721,0.7465512,0.20343031,-3.5980272,-0.0722556,1.2978067,1.6099937,-1.9030929,-1.6608999,2.0050864,-3.9122746,-1.5941559,3.8679898,-0.93066835,-0.649397,-3.4223616,-2.6340082,0.8800731,-1.3204278,-1.5186349,-0.17670245,0.5578474,1.2065412,0.9140695,-0.3994943,0.19457124,0.42085618,-0.8876279,-1.1452198,-0.73945403,1.1014732,3.3971076,0.035787933,0.8529595,2.709401,-2.263983,0.9479333,0.2737477,1.4169164,0.48688853,3.6744895,-4.358836,-1.4956824,5.5766115,0.06932229,-2.5979366,-1.0324106,-1.986183,-0.6089729,-0.4295545,-1.0930679,-0.48832065,-1.0090506,2.3364573,0.9695775,2.018599,-2.0078316,-2.1090164,-4.504393,1.3578111,2.065099,0.026797896
4,0.02270351,-0.21308114,-0.55995893,0.9540345,-1.3618907,-0.45234543,-1.9636183,-1.9135792,2.7663293,4.1259894,0.9474826,-2.1115975,1.330761,0.8955591,-1.0825669,0.10577865,1.2116609,1.5339228,-0.7845303,1.5415372,2.1218708,0.26242924,0.11657711,-0.37480417,0.87595946,-2.8521357,-1.4456435,1.7564673,-2.4996576,-0.037417613,0.09569926,0.39398298,-0.4703459,-2.4230714,1.5913588,2.0501747,0.6871697,3.6031816,3.099642,-2.162137,0.095898226,-1.8562596,1.036071,3.5868595,-1.3691941,-0.94715536,-3.0498612,0.93690497,-3.8106325,0.4048025,2.4507382,0.2902326,0.11203527,-6.7159405,-3.3539796,-3.3338177,0.8022698,-2.6856165,0.9401643,0.8868913,1.439609,1.9985582,-0.5605359,0.6394349,-1.1176656,0.6787824,-2.6658642,0.4356978,2.1478803,3.8738112,0.62806916,-0.06864111,2.975717,-1.4265285,-0.38449782,0.10446263,0.2934452,1.1387765,5.2273564,-2.2146,-1.5837468,4.2709885,-0.9088259,-1.2102965,-1.7093104,-0.0024591808,-1.0773566,-1.5448492,-0.59625036,0.4086114,2.1922274,3.406179,-0.61627704,3.1852815,-2.3640842,-1.1373694,-3.9061775,2.4751737,0.7129532,-0.7444479
5,-0.6645643,-0.018894043,-0.5380487,0.6741917,-0.66848963,-0.7877864,-1.9014769,-1.658492,2.65621,4.1646957,0.5592596,0.74278957,-0.09693148,-0.6690346,-1.8063258,0.24535803,1.3491,2.1805174,0.8398795,-1.0479927,1.9386519,2.0098739,1.9089407,1.0698957,1.52358,-1.6698544,-1.3273741,3.3332217,-1.8400534,1.3133285,0.035713084,1.0736982,-0.9126559,-2.9136117,1.0517619,0.58385444,-0.8926526,2.5993247,4.9406295,-1.1459789,0.673372,-0.430942,0.021931753,1.6470551,-1.0541813,-0.61862385,-2.608006,2.6036005,-6.467664,0.014818428,2.7184966,1.1773899,-0.6579932,-5.859916,-2.5445037,-3.2878215,2.600706,-2.6482806,1.9428596,1.2765894,1.887944,1.6399889,-1.6080339,-0.6045211,-3.3937159,0.6228284,-2.483086,0.0049296794,0.5097603,3.496483,-1.3452888,0.30564108,1.780766,1.7274173,-1.9845499,0.97300655,0.043791555,-0.9141709,6.042928,0.41661972,-1.4987065,3.6727571,-0.06377061,-3.4268854,-1.9716966,-0.7182393,-0.765515,-1.2388326,-1.2138802,0.15468155,0.5319722,3.7966821,-0.87497085,3.4272072,-1.9731278,-1.0886219,-4.229053,3.836822,2.4725912,-0.8828405
6,0.56331307,-0.99926835,1.2344506,-0.99037576,0.55301446,1.6040831,-1.4513985,-0.3948046,1.9784526,4.4487925,1.2357268,-2.7216902,-0.011012801,-1.3972837,-1.5415076,0.7586285,2.1272457,-0.26999483,1.9287305,-2.4343948,1.7309564,2.162734,3.0177217,2.3755438,1.1410973,-0.5906097,-0.31435874,4.3198886,-0.79919696,-0.95020926,0.36799392,0.24018069,1.040696,-1.8931247,0.29835203,2.882769,0.3815088,0.16761097,1.7461027,0.017065808,0.19344594,1.0875156,0.56395483,1.6033709,-0.65932393,-0.38511986,-3.309221,3.0300794,-5.082623,-0.20478377,1.5494548,1.3233093,0.39151686,-5.0086665,-4.1823697,-3.6092348,1.7513666,-0.40748146,0.012706207,0.5698335,0.29400933,1.1353085,-1.7380155,-0.63862425,-0.18638219,0.5617374,-0.911728,0.0007293824,-0.82809293,1.3352451,-0.369494,0.5055971,3.6691105,1.6321476,-0.1989881,0.46415854,-0.45727682,-1.125778,4.3212,0.06265922,-1.4680127,2.7273157,0.5725342,-2.9172032,-2.539255,0.3420945,1.0417705,-0.12402233,-0.7211699,-0.0663783,1.893503,1.9530883,-0.9733477,2.4353783,-2.4547484,-0.48700216,-3.4114685,3.857316,2.1715279,-0.67417526
7,2.1224992,1.0840529,1.8990169,-0.081295095,2.112797,0.48379084,-0.8342598,-0.0072007435,2.6904957,2.990397,2.6367834,-4.012504,-0.34288138,0.21810383,-1.426259,0.9447763,0.25077218,0.76412904,3.1485372,-2.7857358,0.6375631,1.9695306,-0.57878804,0.31237915,2.3227482,0.019825064,-0.36781442,3.6533582,1.5763427,0.851595,1.4050602,-0.56757027,0.92582667,-0.24170057,0.7094732,2.851398,0.04941326,1.7675153,0.74355495,-1.0523412,2.198066,1.278506,2.4162028,0.39452782,0.30472866,-0.70451546,-3.178083,1.8354145,-5.589916,0.52778757,1.1043,0.6564358,-1.2301053,-4.6525216,-4.0384183,-2.7164953,-1.0779809,-2.4508827,-0.04686682,-0.41131842,-1.4970978,0.41845152,-0.9489487,-2.5597174,0.8737232,2.1257195,0.4185317,-0.6585358,0.122021705,2.011665,0.7751396,2.5176554,3.6503744,-1.3972722,-0.2391191,1.1934831,0.29392767,0.6092277,2.291723,1.61898,-3.4047368,1.547583,1.4695206,-2.4993834,-1.5098723,0.43258148,0.3351697,-0.44171378,1.1329204,-1.2974058,2.5038795,0.09689375,-0.48356688,1.7288954,-2.3440478,-0.6669761,-2.9024649,1.5547352,2.7230985,-1.4412475
8,-0.2665642,-0.5612526,2.3318655,-0.3806136,1.0514085,-0.20361254,-1.4534992,1.109256,3.3289645,0.79504764,2.7972417,-2.5784378,0.9117803,-0.23201564,-0.62504,0.27569968,-0.24044313,-0.5767967,2.0450032,-0.46043664,-0.20738451,-0.27312312,-3.0604117,-0.11727314,1.0468236,0.0021355234,-0.60207397,3.6013935,0.46927541,1.088568,1.382738,-0.015804764,-0.27541158,1.0861536,1.4482934,1.1037496,-0.72390574,1.2680221,0.87774014,0.34465107,1.9123402,0.6245353,1.0525221,-0.14703935,0.51928383,-1.5089597,-0.6781471,1.3177086,-5.999978,2.2623594,2.5228794,0.10544151,0.7119155,-7.0149283,-2.0486138,-1.0741376,-0.92093056,-2.189431,0.5891022,-0.4632146,-2.0444155,3.0337114,-1.4768201,-0.80506605,0.028862339,2.05217,0.35535774,0.82972366,0.12270129,3.7891946,-1.8025465,1.6610581,2.787146,-2.8242135,-0.22441196,1.0964199,0.40767634,-0.07347961,0.5596297,2.744786,-2.2496123,1.0688136,-0.02807019,-3.0683997,-2.0643947,-0.7737444,-0.2097064,-0.057176538,3.2468379,-0.3303203,4.4278936,-0.8594674,-0.24055469,2.7082138,-1.1290637,0.23732631,-4.2221227,1.9456791,2.2353024,-2.4475355
9,-0.49884558,1.8321638,1.518616,-0.96926266,0.14794084,1.170514,0.6780003,0.0825439,4.7706256,2.0677774,2.7852218,-0.7820436,0.15486929,-0.35174212,0.6063807,-0.8241134,1.470482,0.7872368,0.32728645,0.4057631,-2.997163,-0.023937797,-3.9078684,0.7191351,1.5355015,-1.081548,-0.6833309,3.177091,0.036797028,0.39667267,0.25927228,-0.5012359,-0.41492406,0.55601263,4.182827,0.3230004,1.1361767,-0.23115924,0.7511674,1.8694568,0.16335994,1.2766749,-0.30197826,0.6662852,-1.5007917,0.5882586,0.080216,2.4533486,-5.8628654,3.7514086,3.2793367,-0.35374773,1.7517847,-9.04349,-0.87821805,0.31094003,-1.0788021,-2.9826603,-0.40282387,0.4019732,-2.6594021,1.2497741,-0.9937188,-0.63843,-0.70787364,0.8615152,0.86247706,0.10754366,1.7303901,1.7770605,-1.4934458,0.4631068,3.422117,-1.8643594,-0.14018035,0.6543136,-0.31664738,1.0265017,0.7981807,4.1627393,-0.9538163,-0.2932588,-0.18010342,-2.6254182,-2.6272757,1.0111685,0.19991192,0.13977852,2.147568,-2.0857515,3.8758261,-0.41306627,0.2802892,1.1162318,-1.3476912,-1.493697,-3.015436,2.2445219,2.736718,-0.77300376
