,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0,5.508406,-2.098465,3.1124825,-4.1415515,8.043028,-7.0955267,-0.58149517,-0.82483715,2.3503926,-2.7027326,-1.3228343,3.0158513,-2.7678306,1.0576442,-0.056435026,1.9352221,-0.09291141,2.1428325,8.705162,-0.3135557
1,5.5131817,-2.677257,2.2543976,-1.4660306,8.491318,-6.8319235,0.07687726,0.5994707,2.6858048,-2.9760857,-1.088671,4.351755,-2.9819005,2.0660162,-2.4450352,0.7957402,-0.96104324,0.92570204,8.308608,1.089701
2,5.269353,-2.2670481,0.81283414,-1.0251545,9.112109,-8.189252,0.4886471,-0.30959094,3.1211498,-1.3765534,-3.0203779,6.3225255,-2.29929,3.3181658,-2.1726542,1.8898132,-0.5329769,-0.2043508,7.9036546,1.3012054
3,4.5634465,-5.360414,0.32348824,-2.562492,9.929235,-8.67927,-1.2509158,0.17657995,2.885611,-0.35989457,-1.898125,5.5458145,-3.1221755,2.7005024,-2.281695,2.2409384,-0.9327257,0.3610869,7.6754932,1.2228715
4,3.0957487,-3.1182425,1.3361096,-1.6781285,9.798413,-9.224668,1.1506555,-0.30371034,2.6202848,-1.7668034,-1.9566269,3.4648597,-2.726555,0.81970906,-2.0896409,1.446398,-1.3785067,0.25743622,7.9234767,0.27047473
5,2.6187131,-5.5131464,0.59320354,-1.4324592,8.170073,-7.6698384,-0.408251,1.0325574,2.9802024,-4.8466196,-2.5893266,1.3116521,-1.858718,1.400128,-1.327979,3.499457,-1.4977683,1.4269243,7.8912354,0.65817434
6,2.4020345,-5.800658,0.9789355,-1.6521808,6.5803328,-7.3884287,0.3493641,-0.31619775,3.6431434,-5.3492513,-2.4528599,1.0013283,-3.5422447,0.41434836,-0.96178746,2.5842464,-2.6346745,0.5224214,8.1076765,0.8885886
7,1.8776965,-3.8927233,-1.5158354,-2.4390302,6.1678224,-7.8349876,0.09049721,0.43193525,2.4960375,-4.567107,-2.0493188,0.9418202,-5.326221,0.13042465,-0.5169181,4.1704974,0.5399891,1.8171158,10.733722,1.3647503
8,1.4933764,-4.6549106,-0.2959189,-3.0378137,4.680931,-8.141999,0.0006206775,0.7788134,3.5643475,-3.7586436,0.23780273,0.4886534,-6.146563,0.6301613,-0.2986129,4.622492,-0.1585198,1.695048,11.861325,-0.018233882
9,1.2305105,-2.434007,0.6654651,-3.559011,4.9677696,-6.105498,-0.7584927,0.47632053,5.5518584,-2.562301,-0.85922164,1.290439,-5.473894,0.80832577,-0.46806797,4.465259,-0.51360995,0.83463436,10.975879,0.33065793
10,0.93810594,-4.476457,2.076087,-1.1846192,3.6319504,-5.135205,0.79696435,1.1705456,6.7246513,-3.4698381,0.21081048,1.6940144,-3.456735,2.0046885,0.94665843,2.5920856,0.62750316,2.3264532,8.899187,-0.3785122
