,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0,0.14279833,-2.943232,0.28421772,0.7613162,0.9278052,-0.7166111,0.39524347,-0.7002053,-0.38101685,-0.087040775,1.63407,1.8947835,-0.694737,-1.676232,-0.8182549,-0.10367775,0.32083794,1.4085855,0.6029288,1.0637841,0.99986833,-1.4371992,0.66457003,-0.24871145,0.26120824,1.1830956,2.1429226,-0.57914203,0.46624148,-0.063805126,-2.3941061,0.74281037,-0.34082335,-5.3751636,-1.0515629,-1.1999006,1.7494864,-0.9204483,-1.0318341,0.27389786,0.62392086,-0.9045852,1.5383886,0.20799771,-3.008821,-1.5485163,-0.7828668,1.4065423,-0.0236874,-0.70895267
1,-0.7984334,0.3692911,-0.4333085,-0.6658411,1.8587536,-1.1805437,0.9206672,-1.5403992,-0.3943472,-1.2363871,-0.3316963,0.89938843,-1.0672929,-1.6864336,0.40525204,-0.11973212,-1.0570891,0.31238043,0.22232763,0.45330748,0.68838334,1.4624202,-0.74002004,-2.7045758,0.1998231,1.6468201,0.91032493,-0.05025259,1.2502364,-0.26400217,-0.17262504,0.38748693,-0.3678002,-4.65763,-1.1240976,-0.63650256,0.30098462,-1.715832,0.009793688,-1.1671668,0.26299745,-0.09904323,1.8778608,0.2189005,-3.1024494,-0.94677854,0.005616157,-0.08486547,-1.4551458,-0.93569666
2,-0.9578529,1.9930967,0.11290107,-0.4181058,0.8065505,-0.03786811,0.73661065,0.065664835,1.1356285,-2.2863798,-0.05991075,0.3287397,1.0620389,0.109776825,-0.6890218,-1.0202725,-0.43409488,-1.3458778,0.49844295,-0.40732,1.4731507,3.476955,-0.6669512,-0.6170238,-2.3502781,3.3438957,2.7618546,-0.53238744,0.72296375,1.1923927,-1.7311068,-1.9996759,-1.5350794,-4.119191,0.860773,-0.46068934,0.39227423,-2.6088467,0.65613717,-1.6227249,0.603077,1.2903224,0.091234796,-1.5461959,-1.7498986,-0.5922414,0.3867797,1.2776462,-1.3296239,-0.4276434
3,0.84949285,1.2686311,-0.91757095,-0.90376174,0.39675775,0.663909,-1.808342,-0.1197484,1.2997866,-2.5685644,1.2762519,-1.160242,2.144032,0.31107706,-1.3348684,2.0804994,1.3013779,0.7677156,0.4929168,-1.244759,2.5647502,2.6329181,0.10499291,-0.1792863,-0.8567053,1.6520509,0.5462531,1.1693661,0.8658957,1.2611179,-0.9155914,-1.4605944,-2.0595398,-2.4807773,-1.3187839,-3.3201578,-0.6050094,-4.543382,-0.5949381,0.3461753,0.60828257,-1.1610428,0.77187353,-1.1409631,-0.641875,-1.8814355,0.6977644,0.860639,0.39575967,1.7382581
4,-0.2670964,-1.3068923,-1.7391429,-0.8783377,1.9898179,0.3735114,-0.5661042,-1.2259654,2.1904867,-2.9308712,0.40797675,1.3246528,1.2223058,0.06076307,-1.4843045,1.8408724,1.627383,1.4791812,-0.37634975,-0.5631868,0.007232683,0.73790973,0.69054556,-1.4540114,-0.87074167,0.72266746,0.7436541,0.3040048,0.8628214,0.034059707,-1.4719578,-2.6423318,-0.5210516,-2.7900276,-1.1353595,-1.4726673,-2.6281886,-3.3551939,-0.6672806,0.99400544,-1.6625086,-1.294588,-0.028789792,-1.7051466,0.7680044,-0.7329361,2.4551299,2.4260266,1.1268202,3.5978134
5,0.47208288,-0.46683562,-0.43904215,-0.59307134,1.0451279,0.3404848,1.4923643,-0.07315905,2.931215,-1.1728818,1.761393,-0.5859871,1.4819146,0.57319754,-0.759904,3.4110987,0.7302068,2.73292,1.2363069,0.35868636,0.73345464,1.3468927,0.509466,-0.20689416,-0.9028878,0.17880605,1.0556045,-0.7293703,-2.0189064,-2.2171872,-1.8087833,-0.9944962,0.28145728,-2.499021,0.04259135,-1.1909797,-2.3701992,-0.9339301,1.7301364,1.5223864,-0.65396976,-3.5346951,-0.32019177,1.1135298,2.1514986,1.2257692,4.1757817,1.4879894,1.2678108,4.459568
6,1.0263677,-1.873108,-0.19963302,-0.9976718,2.1628253,1.1610627,1.3213955,0.43311766,2.9587235,-1.0680276,1.3260921,2.3271675,1.9889611,-0.549368,-2.0004642,1.2923075,0.93201923,2.9245956,0.4316858,-0.42189032,-0.7501827,1.0769893,1.7594593,1.4043611,0.41885674,0.5145819,-0.9950438,-0.7990811,-2.9248738,-0.72923476,0.7220394,1.1111162,-0.62820673,-1.9639559,-0.5405613,-1.0844678,-0.6945535,-0.51000863,0.8104581,3.071488,-0.16498238,0.20955367,0.11559287,0.009566844,1.7619724,-0.420264,2.3203259,-0.9214555,3.127867,2.1491058
7,-1.4828835,-0.62606657,-1.174997,-0.73190206,1.1393964,1.0299692,1.1767296,1.1377249,1.5896778,0.12369021,1.6459838,0.30407473,0.37173578,0.32589343,-0.27479824,0.7062925,0.2561066,3.2395906,0.17764795,-0.3475971,-1.2304153,0.022389857,1.0088875,2.453795,-1.3178993,0.17510098,-1.3977714,-0.71475804,-2.1599565,-0.37509948,-0.8423356,-0.07499881,-0.85876733,-0.7582286,1.3793255,-0.81269234,-2.1087623,-1.5484427,0.7024135,1.7744169,-0.53875357,0.94554365,-1.113586,-0.5647502,-0.12341358,-1.7959638,1.9023033,-1.2985343,0.873567,1.5512011
8,-1.1241064,-1.8795798,-1.6014842,1.5478071,0.91428775,0.83163315,0.026552375,2.35064,1.2712113,-0.11413468,-1.203185,0.2864746,0.20955335,0.25575602,-0.5082914,3.5885193,0.32109126,4.2287674,0.4007796,-1.356436,-2.802751,1.8208901,2.0852394,1.758078,-1.6738728,-0.51802826,-1.1054847,-2.2547512,-3.551915,0.21687296,-2.015521,-0.48873845,-2.3131359,0.83720195,1.516764,0.86993146,-0.7452408,-0.51329505,-0.06254396,1.9873955,-0.83696973,-0.13634063,-1.2691017,0.63323075,1.6995416,-1.9514741,3.5352728,-1.9749192,1.3797308,0.27436224
9,0.6886126,0.16388425,-0.582288,0.15538722,0.3884553,0.3981698,0.465071,1.7827823,-0.19938418,-0.7722919,-0.4624894,-1.9859358,0.7903232,-2.0439057,0.4487831,4.9451985,0.77387434,3.4668083,0.17576231,-0.43308148,-3.5485637,2.0471547,1.8384789,1.5736303,-1.6329476,-1.4515884,-0.9392975,-2.035591,-5.1585116,-2.2862225,-2.292505,0.6269379,0.88073415,0.56558436,-0.8673759,0.6858116,-2.6699672,1.1625127,0.43535048,0.8036459,0.5732626,-1.055803,-1.5301889,0.5050787,3.0474148,-1.5110968,3.2291076,-1.8749888,2.4074292,-0.7364221
